Pollinator_gen_sp,Site_ID,Round,Plant_gen_sp,Pollinator_genus,Pollinator_species,Out,Pollinator_id,Pollinator_sex,Frequency,Morphospecie2
Acmaeoderella adspersula,Lasmulas,7,Myrtus communis,Acmaeoderella,adspersula,out,BF516,NA,2,morpho_82
Agapanthia asphodeli,Niebla,5,Thapsia villosa,Agapanthia,asphodeli,out,no_captured,male,2,morpho_72
Amegilla albigena,LaRocina,7,Myrtus communis,Amegilla,albigena,focal,BF622,female,11,morpho_15
Amegilla albigena,Villamanriquesur,7,Myrtus communis,Amegilla,albigena,focal,BF620,female,5,morpho_15
Amegilla albigena,Lasmulas,7,Myrtus communis,Amegilla,albigena,focal,BF619,female,7,morpho_15
Amegilla albigena,Villamanriquesur,7,Myrtus communis,Amegilla,albigena,focal,BF623,female,6,morpho_15
Amegilla albigena,Lasmulas,7,Myrtus communis,Amegilla,albigena,focal,BF617,female,6,morpho_15
Amegilla albigena,Villamanriquesur,7,Myrtus communis,Amegilla,albigena,focal,BF618,female,7,morpho_15
Amegilla fasciata,LaRocina,7,Myrtus communis,Amegilla,fasciata,focal,BF616,female,13,morpho_15
Amegilla quadrifasciata,Aznalcazar,7,Myrtus communis,Amegilla,quadrifasciata,out,BF624,female,2,morpho_15
Amegilla quadrifasciata,PinaresdeHinojos,7,Myrtus communis,Amegilla,quadrifasciata,focal,BF621,female,6,morpho_15
Ammophila heydeni,Bonares,7,Thymus mastichina,Ammophila,heydeni,transect,BF675,female,6,morpho_5
Ammophila heydeni,ConventodelaLuz,6,Halimium halimifolium,Ammophila,heydeni,transect,BF679,male,3,morpho_5
Ancistrocerus biphaleratus,Bonares,6,Thapsia villosa,Ancistrocerus,biphaleratus,transect,BF693,female,1,morpho_40
Ancistrocerus gazella,Pinodelcuervo,6,Cistus crispus,Ancistrocerus,gazella,transect,BF669,NA,1,morpho_40
Ancistrocerus reconditus,Pinodelcuervo,6,Cistus crispus,Ancistrocerus,reconditus,transect,BF686,NA,1,morpho_40
Andrena abrupta,Elpozo,5,Lavandula stoechas,Andrena,abrupta,out,BF300,male,1,morpho_98
Andrena angustior,Lasmulas,4,Cistus salvifolius,Andrena,angustior,focal,BF330,female,2,morpho_98
Andrena angustior,ConventodelaLuz,3,Cistus salvifolius,Andrena,angustior,focal,BF285,female,2,morpho_98
Andrena angustior,Elpinar,5,Convolvulus arvensis,Andrena,angustior,out,BF332,male,1,morpho_98
Andrena carbonaria,Aznalcazar,5,Cistus crispus,Andrena,carbonaria,out,BF703,male,2,morpho_22
Andrena cinerea,Esparragal,6,Linaria viscosa,Andrena,cinerea,out,BF299,female,1,morpho_98
Andrena cinerea,Esparragal,5,Cistus salvifolius,Andrena,cinerea,focal,BF65,female,1,morpho_98
Andrena cinerea,Pinodelcuervo,4,Cistus salvifolius,Andrena,cinerea,out,BF289,female,1,morpho_98
Andrena ferrugineicrus,Elpinar,2,Rosmarinus officinalis,Andrena,ferrugineicrus,transect,BF28,female,1,morpho_98
Andrena fertoni,Villamanriqueeste,3,Cistus ladanifer,Andrena,fertoni,transect,BF280,NA,2,morpho_98
Andrena flavipes,Villamanriquesur,3,Halimium commutatum,Andrena,flavipes,focal,PERDIDO,female,1,morpho_32
Andrena flavipes,Villamanriqueeste,5,Cistus crispus,Andrena,flavipes,focal,no_captured,female,1,morpho_32
Andrena flavipes,LaCunya,4,Echium plantagineum,Andrena,flavipes,focal,no_captured,female,1,morpho_32
