Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Adela purpurea","Animals","Pollinator",1,20.0000,1
"Andrena alleghaniensis","Animals","Pollinator",3,11.0000,1
"Andrena bradleyi","Animals","Pollinator",5,48.0000,1
"Andrena carlini","Animals","Pollinator",5,11.0000,4
"Andrena carolina","Animals","Pollinator",4,16.0000,1
"Andrena mandibularis","Animals","Pollinator",6,34.0000,2
"Andrena regularis","Animals","Pollinator",7,66.0000,1
"Andrena vicina","Animals","Pollinator",8,83.0000,2
"Apis mellifera","Animals","Pollinator",5,24.0000,108
"Bombus terricola","Animals","Pollinator",5,82.0000,2
"Colletes inaequalis","Animals","Pollinator",5,73.0000,2
"Cyphon variabilis","Animals","Pollinator",1,37.0000,1
"Dialictus pilosus","Animals","Pollinator",3,12.0000,1
"Dilophus caurinus","Animals","Pollinator",1,87.0000,1
"Eristalis dimidiata","Animals","Pollinator",4,18.0000,1
"Helophilus fasciatus","Animals","Pollinator",5,11.0000,2
"Helophilus laetus","Animals","Pollinator",3,10.0000,1
"Helophilus latifrons","Animals","Pollinator",3,19.0000,2
"Hybomitra minuscula","Animals","Pollinator",1,12.0000,1
"Hybomitra typhus","Animals","Pollinator",2,14.0000,1
"Macrodactlyus subspinosus","Animals","Pollinator",1,15.0000,1
"Melanostoma sp1 M_PL_033","Animals","Pollinator",4,26.0000,1
"Pyrobombus impatiens","Animals","Pollinator",7,30.0000,1
"Pyrobombus perplexus","Animals","Pollinator",5,21.0000,1
"Pyrobombus sandersoni","Animals","Pollinator",9,34.0000,1
"Pyrobombus ternarius","Animals","Pollinator",11,50.0000,1
"Pyrophaena rosarum","Animals","Pollinator",5,11.0000,3
"Sercomyia transversa","Animals","Pollinator",5,32.0000,1
"Shaerophoria sp1 M_PL_033","Animals","Pollinator",4,15.0000,1
"Spilogona fatima","Animals","Pollinator",4,13.0000,1
"Syritta pipiens","Animals","Pollinator",4,19.0000,12
"Syrphus torvus","Animals","Pollinator",2,14.0000,6
"Thymelicus lineola","Animals","Pollinator",2,10.0000,2
"Toxomerus marginatus","Animals","Pollinator",1,14.0000,2
"Andromeda glaucophylla","Plants","Plant",2,3.0000,1
"Aronia melanocarpa","Plants","Plant",16,69.0000,1
"Calopogon pulchellus","Plants","Plant",2,21.0000,1
"Chamaedaphne calyculata","Plants","Plant",13,74.0000,1
"Gaylussacia baccata","Plants","Plant",14,114.0000,1
"Kalmia angustifolia","Plants","Plant",8,28.0000,1
"Kalmia polifolia","Plants","Plant",11,37.0000,1
"Ledum groenlandicum","Plants","Plant",18,134.0000,1
"Nemopanthus mucronata","Plants","Plant",13,132.0000,1
"Salix fragilis","Plants","Plant",13,137.0000,1
"Smilacina trifolia","Plants","Plant",5,19.0000,1
"Spiraea alba","Plants","Plant",12,87.0000,1
"Vaccinium myrtilloides","Plants","Plant",14,137.0000,1
